Date,Product Name,Region,Quantity Sold,Unit Price,Discount Percentage,Total Sales
2023-05-02,Wireless Mouse,West,35,19.67,10,619.605
2023-07-17,Wireless Mouse,South,35,347.98,10,10961.37
2022-06-19,Keyboard,South,40,214.22,15,7283.48
2022-09-29,Wireless Mouse,East,10,196.32,15,1668.7199999999998
2023-06-25,USB-C Cable,East,18,278.17,20,4005.6480000000006
2023-09-14,Keyboard,South,6,242.45,10,1309.2299999999998
2023-03-10,Keyboard,West,20,85.03,20,1360.48
2022-08-05,Monitor,East,6,350.64,15,1788.2640000000001
2023-07-07,Smartphone,East,33,318.85,5,9995.9475
2023-12-08,Headphones,West,14,157.55,20,1764.5600000000004
2022-07-25,External Hard Drive,East,10,334.22,5,3175.09
2024-01-01,Monitor,West,35,334.62,20,9369.36
2022-11-16,Smartwatch,North,21,142.29,20,2390.4719999999998
2023-02-13,Smartphone,East,26,306.76,15,6779.396
2023-11-19,Smartphone,East,38,77.21,20,2347.1839999999997
2023-10-28,Smartphone,North,41,417.02,15,14533.146999999999
2023-01-18,Laptop,West,49,61.41,20,2407.272
2023-03-25,Smartwatch,East,42,362.2,20,12169.92
2023-06-14,Monitor,North,44,67.69,10,2680.524
2023-04-08,Smartwatch,West,42,65.87,10,2489.886
2022-05-04,Headphones,East,5,62.07,15,263.7975
2022-09-11,Printer,South,20,107.34,20,1717.4400000000003
2022-08-19,Smartwatch,North,45,107.88,5,4611.869999999999
2022-03-07,Smartphone,West,28,138.87,0,3888.36
2022-12-13,Headphones,South,47,266.34,15,10640.283
2022-01-22,Printer,West,16,108.82,10,1567.008
2023-08-26,USB-C Cable,South,4,354.68,10,1276.848
2023-07-22,Printer,South,16,154.72,15,2104.192
2022-08-24,USB-C Cable,North,6,29.31,10,158.274
2023-08-26,Wireless Mouse,North,28,253.21,5,6735.3859999999995
2022-08-14,Printer,South,8,111.77,10,804.744
2022-01-08,USB-C Cable,North,30,467.23,0,14016.900000000001
2022-03-14,External Hard Drive,West,40,172.0,0,6880.0
2023-12-26,Smartphone,East,39,11.34,20,353.808
2023-10-09,Laptop,West,4,339.1,5,1288.58
2022-03-02,Printer,South,20,454.37,10,8178.66
2022-08-23,Keyboard,West,43,419.26,10,16225.362000000001
2022-03-11,Smartwatch,South,48,337.82,15,13783.056
2022-02-02,USB-C Cable,West,43,83.08,20,2857.952
2022-12-05,Monitor,West,48,54.14,0,2598.7200000000003
2022-03-14,USB-C Cable,North,12,260.74,15,2659.5480000000002
2023-06-11,Printer,South,8,364.55,15,2478.94
2022-09-01,USB-C Cable,South,1,59.63,10,53.667
2022-10-13,Headphones,East,46,135.39,0,6227.94
2023-11-17,Monitor,West,9,123.27,15,943.0155
2023-05-13,Printer,West,45,494.45,10,20025.225000000002
2022-08-08,Laptop,East,1,155.05,20,124.04000000000002
2023-07-07,Headphones,South,11,237.5,5,2481.875
2022-05-16,Monitor,West,32,58.91,0,1885.12
2023-08-08,Smartwatch,East,23,95.6,20,1759.04
2023-08-14,Keyboard,East,34,29.33,10,897.4979999999999
2023-04-30,Smartwatch,East,34,152.38,5,4921.874
2022-09-06,USB-C Cable,West,47,402.78,15,16091.061
2023-04-30,USB-C Cable,South,17,163.23,20,2219.928
2023-02-21,Wireless Mouse,South,11,371.88,15,3477.078
2022-07-14,Monitor,East,24,56.55,15,1153.62
2022-04-07,USB-C Cable,East,9,381.52,5,3261.9959999999996
2022-04-10,Wireless Mouse,South,48,32.49,5,1481.5439999999999
2023-11-06,Smartwatch,East,50,427.48,15,18167.899999999998
2023-03-18,Wireless Mouse,East,18,335.04,15,5126.112
2022-12-29,Smartwatch,South,47,93.55,5,4177.0075
2023-03-10,Printer,West,8,185.19,10,1333.368
2023-02-25,USB-C Cable,East,50,224.48,0,11224.0
2023-04-24,Headphones,West,2,314.69,15,534.973
2022-02-25,Smartwatch,East,22,440.45,5,9205.404999999999
2023-11-21,Keyboard,East,28,55.55,20,1244.32
2023-11-01,Headphones,East,18,409.33,20,5894.352
2023-10-24,Headphones,North,34,99.61,10,3048.066
2022-04-11,Smartwatch,West,5,206.38,10,928.7100000000002
2022-03-04,USB-C Cable,West,17,481.53,20,6548.808
2023-02-17,Smartphone,East,46,143.2,10,5928.48
2022-12-14,Laptop,South,37,199.0,15,6258.55
2022-04-22,Wireless Mouse,East,41,426.83,5,16625.028499999997
2022-09-12,USB-C Cable,North,5,401.95,0,2009.75
2022-07-16,Printer,East,32,327.93,5,9969.072
2022-07-14,Wireless Mouse,North,30,400.49,5,11413.965
2023-07-04,Smartwatch,East,33,65.4,10,1942.3800000000003
2023-04-05,Keyboard,West,24,351.12,0,8426.880000000001
2022-05-24,Smartphone,East,4,38.74,15,131.716
2023-03-09,Laptop,West,32,471.81,20,12078.336000000001
2022-07-07,USB-C Cable,South,37,88.1,15,2770.745
2022-10-13,Keyboard,South,11,213.85,10,2117.115
2023-04-19,Monitor,East,24,299.47,20,5749.8240000000005
2022-09-13,Smartphone,East,11,403.11,15,3769.0785
2022-03-19,Headphones,South,17,342.41,5,5529.9215
2023-03-30,Smartphone,North,50,98.82,10,4446.900000000001
2023-07-18,External Hard Drive,South,7,196.08,0,1372.5600000000002
2022-04-11,Keyboard,South,37,185.71,5,6527.7065
2022-02-21,External Hard Drive,North,44,24.12,0,1061.28
2023-10-30,External Hard Drive,South,47,345.39,20,12986.664
2023-07-08,USB-C Cable,South,8,420.88,0,3367.04
2022-01-16,Smartphone,North,15,486.99,5,6939.6075
2022-04-06,USB-C Cable,North,48,74.02,0,3552.96
2022-08-31,Printer,West,33,461.0,10,13691.7
2022-06-20,USB-C Cable,East,1,65.34,10,58.806000000000004
2023-02-21,Keyboard,West,3,211.53,5,602.8605
2023-05-13,Laptop,North,1,32.53,15,27.6505
2023-05-08,Printer,South,16,138.19,0,2211.04
2022-08-07,Laptop,North,3,163.98,5,467.3429999999999
2023-02-15,Smartphone,South,31,355.24,0,11012.44
2022-03-02,Headphones,West,24,342.19,5,7801.931999999999
2022-06-18,Monitor,West,25,386.09,0,9652.25
2023-01-24,External Hard Drive,West,10,292.56,15,2486.7599999999998
2022-01-03,Keyboard,South,12,286.86,5,3270.204
2023-02-04,Laptop,East,3,489.17,10,1320.759
2022-09-29,Monitor,East,36,338.22,15,10349.532000000001
2023-04-11,Wireless Mouse,East,46,175.77,10,7276.878000000001
2022-10-20,USB-C Cable,North,48,266.32,15,10865.856
2023-03-10,External Hard Drive,North,42,353.28,10,13353.983999999999
2023-12-15,Laptop,South,27,56.67,15,1300.5765000000001
2023-07-24,Printer,North,15,334.24,0,5013.6
2023-11-09,Keyboard,South,21,131.8,10,2491.0200000000004
2023-05-14,USB-C Cable,West,16,179.42,0,2870.72
2022-06-08,Smartwatch,South,27,341.38,5,8756.396999999999
2022-07-14,Monitor,North,47,198.59,0,9333.73
2022-10-31,Keyboard,West,21,421.13,10,7959.357
2022-08-11,Laptop,West,18,283.59,15,4338.927
2022-03-01,Headphones,South,5,494.02,0,2470.1
2023-08-17,Printer,East,37,36.74,20,1087.5040000000001
2023-07-10,Wireless Mouse,North,24,325.27,15,6635.508
2022-03-04,Smartwatch,North,8,86.89,5,660.3639999999999
2022-11-18,External Hard Drive,East,33,425.93,5,13352.9055
2022-02-28,Keyboard,North,44,427.42,10,16925.832
2022-02-21,Smartwatch,East,4,436.01,15,1482.434
2023-08-22,Headphones,East,12,46.68,0,560.16
2023-05-04,Laptop,West,15,250.91,0,3763.65
2023-05-30,Printer,West,34,128.04,5,4135.691999999999
2023-06-28,USB-C Cable,South,3,485.37,15,1237.6935
2022-06-11,Monitor,West,26,34.67,15,766.207
2022-02-28,Laptop,East,5,119.13,5,565.8675
2023-06-05,Smartphone,South,30,325.23,0,9756.900000000001
2022-03-24,Wireless Mouse,North,19,207.61,5,3747.3605
2022-07-10,Wireless Mouse,East,50,125.15,15,5318.875
2022-03-12,USB-C Cable,South,20,234.96,0,4699.2
2023-09-02,Printer,West,21,402.62,20,6764.0160000000005
2022-03-11,Laptop,East,6,229.57,5,1308.549
2023-11-23,Laptop,South,36,429.73,15,13149.738
2022-08-29,Headphones,North,30,229.06,15,5841.03
2023-02-18,External Hard Drive,East,1,68.17,10,61.353
2022-05-03,Smartphone,East,24,253.71,10,5480.136
2023-08-07,Monitor,South,13,330.15,5,4077.3524999999995
2022-09-10,Printer,South,19,60.3,0,1145.7
2023-08-16,Keyboard,West,37,212.05,20,6276.68
2023-09-01,External Hard Drive,West,20,282.99,20,4527.84
2022-02-10,Monitor,East,48,10.08,0,483.84000000000003
2023-09-27,Smartwatch,North,40,54.54,10,1963.44
2022-03-25,Smartphone,West,16,306.06,15,4162.416
2023-03-06,Monitor,North,30,313.34,10,8460.179999999998
2023-11-05,Laptop,South,24,159.25,5,3630.8999999999996
2023-08-21,Printer,South,38,259.09,10,8860.877999999999
2023-08-02,Smartwatch,West,32,111.36,0,3563.52
2023-06-20,Monitor,East,50,339.02,5,16103.449999999999
2022-11-20,USB-C Cable,South,50,475.67,0,23783.5
2022-09-25,Wireless Mouse,North,13,188.04,5,2322.294
2022-07-29,Keyboard,East,47,36.59,15,1461.7705
2023-11-17,Headphones,West,35,119.23,10,3755.7450000000003
2022-11-18,Printer,South,49,232.69,0,11401.81
2022-09-02,Printer,West,16,284.47,5,4323.944
2022-09-29,Headphones,East,10,313.68,10,2823.1200000000003
2023-02-10,Keyboard,East,1,241.84,20,193.472
2022-05-15,Laptop,East,27,332.01,0,8964.27
2023-11-19,Keyboard,North,2,360.8,15,613.36
2023-10-23,External Hard Drive,East,15,65.87,5,938.6475
2022-11-04,Keyboard,East,35,382.07,0,13372.449999999999
2023-04-14,Wireless Mouse,South,23,118.66,0,2729.18
2022-11-20,Monitor,North,41,177.26,20,5814.128000000001
2022-03-16,USB-C Cable,North,45,416.64,15,15936.48
2022-01-10,Headphones,West,1,482.57,20,386.05600000000004
2023-04-15,Laptop,East,22,153.07,5,3199.163
2023-09-29,Printer,South,1,265.77,10,239.19299999999998
2023-07-31,Laptop,West,49,354.03,0,17347.469999999998
2022-04-13,Headphones,East,43,32.43,5,1324.7655
2022-03-17,Smartwatch,North,25,90.44,5,2147.95
2023-07-05,Wireless Mouse,East,48,78.82,15,3215.8559999999998
2022-08-07,Wireless Mouse,East,47,361.26,0,16979.22
2023-06-03,Keyboard,South,20,363.56,20,5816.96
2022-09-29,Headphones,South,7,62.41,10,393.183
2022-05-16,Smartphone,South,14,309.32,0,4330.48
2022-12-24,Smartwatch,West,34,101.9,0,3464.6000000000004
2022-03-12,Headphones,South,16,465.81,10,6707.664
2022-09-08,Laptop,West,27,202.52,5,5194.638
2023-01-14,External Hard Drive,East,32,233.95,20,5989.12
2022-10-19,Headphones,West,4,392.9,0,1571.6
2022-06-11,Smartwatch,West,10,361.23,5,3431.685
2023-03-25,Headphones,South,46,62.81,15,2455.871
2023-07-11,Headphones,South,18,213.09,5,3643.839
2023-12-22,Keyboard,North,6,464.05,10,2505.8700000000003
2022-11-06,Smartphone,West,3,420.36,20,1008.864
2023-09-19,Smartwatch,East,15,298.52,10,4030.0199999999995
2023-11-01,Wireless Mouse,North,34,388.35,15,11223.315
2023-06-26,USB-C Cable,North,27,230.75,5,5918.737499999999
2022-01-09,Smartphone,North,45,332.64,0,14968.8
2023-11-15,Smartphone,South,24,478.53,15,9762.011999999999
2023-07-22,External Hard Drive,South,30,75.97,10,2051.19
2022-11-03,USB-C Cable,South,48,254.43,5,11602.008
2023-11-11,Smartphone,East,6,269.88,10,1457.352
2022-04-17,Laptop,West,38,33.8,0,1284.3999999999999
2022-05-18,Wireless Mouse,North,7,468.3,15,2786.3849999999998
2022-09-28,Smartphone,South,33,421.02,15,11809.610999999999
2022-04-29,Wireless Mouse,West,9,246.64,20,1775.808
2022-04-20,Keyboard,North,41,259.08,10,9560.052
2023-07-21,Headphones,West,26,461.37,20,9596.496000000001
2022-06-09,Smartwatch,North,5,96.83,15,411.5275
2022-10-06,Keyboard,West,38,293.49,5,10594.989
2022-10-16,Wireless Mouse,South,37,367.94,20,10891.024000000001
2023-09-12,Smartphone,West,4,72.91,5,277.058
2022-08-04,USB-C Cable,West,28,199.83,20,4476.192000000001
2022-12-18,Wireless Mouse,North,43,304.27,10,11775.249
2022-07-28,Smartphone,West,9,442.52,10,3584.412
2023-12-05,Monitor,East,16,257.01,15,3495.336
2023-10-12,External Hard Drive,North,19,198.48,10,3394.008
2022-09-28,Laptop,West,17,489.96,20,6663.456
2023-06-02,Laptop,East,21,458.8,20,7707.840000000001
2023-05-16,Printer,North,26,383.56,5,9473.931999999999
2022-09-15,Printer,South,45,144.06,0,6482.7
2022-02-22,Keyboard,North,48,482.16,20,18514.944
2022-04-05,External Hard Drive,North,21,485.54,5,9686.523
2023-10-12,Smartwatch,West,21,231.89,15,4139.2365
2023-03-10,Laptop,East,29,75.35,10,1966.6349999999998
2022-10-11,Printer,North,18,212.25,10,3438.4500000000003
2022-02-15,External Hard Drive,North,15,353.01,20,4236.12
2022-01-04,Headphones,North,5,376.73,10,1695.285
2022-12-08,Smartwatch,West,13,156.47,15,1728.9934999999998
2022-05-14,Wireless Mouse,North,9,353.73,0,3183.57
2023-10-15,External Hard Drive,East,50,431.75,20,17270.0
2022-09-26,USB-C Cable,West,50,358.82,15,15249.85
2022-06-15,Printer,South,38,468.4,5,16909.24
2023-03-29,Wireless Mouse,South,7,319.97,0,2239.79
2023-07-19,Wireless Mouse,West,10,108.44,20,867.5200000000001
2023-12-24,Printer,East,7,315.84,10,1989.7919999999997
2023-03-14,Monitor,West,11,152.38,20,1340.944
2023-07-29,Monitor,West,29,179.19,5,4936.6845
2022-01-10,Laptop,West,30,339.46,10,9165.42
2022-04-25,Printer,West,21,490.85,0,10307.85
2022-03-19,Printer,North,27,328.54,20,7096.464
2023-12-09,Laptop,South,8,479.58,15,3261.144
2022-06-02,Laptop,East,35,256.91,5,8542.2575
2023-07-13,Keyboard,North,23,350.21,20,6443.8640000000005
2022-02-06,Smartwatch,South,50,167.97,15,7138.724999999999
2023-01-14,Smartphone,West,14,66.55,20,745.36
2023-08-20,Laptop,South,29,182.6,5,5030.629999999999
2023-07-20,Smartphone,South,20,245.38,20,3926.0800000000004
2022-06-01,USB-C Cable,North,30,289.61,10,7819.470000000001
2023-03-17,Smartwatch,North,17,336.91,10,5154.723
2022-05-11,Smartwatch,East,8,214.56,15,1459.008
2022-02-12,External Hard Drive,West,6,376.46,10,2032.8839999999998
2022-11-12,Keyboard,West,11,422.28,0,4645.08
2023-01-09,Monitor,West,44,150.1,0,6604.4
2022-02-10,Smartwatch,South,20,425.18,20,6802.880000000001
2023-01-02,External Hard Drive,South,46,406.07,0,18679.22
2022-08-04,USB-C Cable,West,45,266.14,0,11976.3
2023-11-30,Printer,East,39,22.38,5,829.1789999999999
2022-09-13,External Hard Drive,South,3,81.21,5,231.4485
2023-11-14,Smartwatch,East,14,338.42,0,4737.88
2022-04-16,Monitor,South,21,107.95,5,2153.6025
2022-12-29,Laptop,North,10,377.59,0,3775.8999999999996
2023-07-28,Laptop,North,6,88.86,15,453.186
2023-02-21,External Hard Drive,West,46,150.44,5,6574.227999999999
2023-09-28,Headphones,North,16,132.77,0,2124.32
2022-06-08,Monitor,South,23,421.3,0,9689.9
2022-08-31,Printer,South,26,348.39,20,7246.512
2022-06-16,Headphones,North,33,154.62,15,4337.091
2022-07-01,Monitor,North,4,379.26,15,1289.484
2023-02-27,Keyboard,North,44,25.83,20,909.216
2022-01-26,Printer,West,20,408.87,20,6541.92
2022-07-03,Monitor,North,17,60.22,20,818.9920000000001
2022-12-07,Monitor,South,12,435.34,10,4701.6720000000005
2023-02-26,Laptop,North,2,372.35,0,744.7
2023-11-17,Keyboard,West,26,433.77,10,10150.218
2022-09-12,Monitor,West,29,373.78,5,10297.639
2022-10-01,Keyboard,South,36,285.02,20,8208.576
2022-06-13,USB-C Cable,South,48,126.42,0,6068.16
2023-12-20,Keyboard,North,36,394.31,0,14195.16
2022-04-21,Smartphone,South,16,401.42,5,6101.584
2023-01-27,Printer,East,7,150.94,15,898.093
